Report Type,RDS Extended Support Check
Generated,2025-12-11 09:24:58
Total Extended Support Instances,74
Total Upcoming Extended Support Instances (within 30 days),0

Environment,Instance ID,Engine,Version,Instance Class,Instance Status,Support Status,Support End Date
STAGE,employee-profile-service-db-1,aurora-postgresql,13.20,db.r5.xlarge,available,In Extended Support,2025-11-13
STAGE,employee-profile-service-db-2,aurora-postgresql,13.20,db.r5.xlarge,available,In Extended Support,2025-11-13
STAGE,ep169rwf7wfvpnr,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,genesis-staging,postgres,12.22,db.m6g.large,available,In Extended Support,2024-11-14
STAGE,gp1d3cu0ikfo51w,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,gp1inx4eejwb537,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,gp1wb5ppbrv3fzf,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,gpfoz58dudo80a,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,guild-sponsorship-rds-instance-pssqldbinstance-lziyytd3cc9w,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,model-m-academic-aurora-pg-cluster-staging-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,model-m-staging-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,model-m-staging-2,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,nc-walmart-event-consumer-service-aurora-pg-cluster-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,np15wtaeh0ozjzm,postgres,11.22-rds.20250508,db.t3.medium,available,In Extended Support,2023-11-09
STAGE,pcs-db-serverless-v2-serverlessv2instance-eriepfyz5gkw,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,platform-eligibility-db-staging-instance-a,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,prod-epeszt1fl8zhft-version,postgres,12.22,db.m6g.large,available,In Extended Support,2024-11-14
STAGE,self-reported-data-service-staging,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,sp752qzecgtcyw,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
STAGE,tonic-metadata-database-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,tonic-poc-destination-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,transaction-service-aurora-pg-primary-staging,aurora-postgresql,12.22,db.r4.large,available,In Extended Support,2024-11-14
STAGE,user-profile-service-staging,aurora-postgresql,11.21,db.r5.large,available,In Extended Support,2023-11-09
