Report Type,RDS Extended Support Check
Generated,2025-12-11 09:50:17
Total Extended Support Instances,109
Total Upcoming Extended Support Instances (within 30 days),0
Estimated Monthly Cost,"$22,630.00"
Estimated Annual Cost,"$271,560.00"

Environment,Instance ID,Engine,Version,Instance Class,vCPUs,Instance Status,Support Status,Support End Date,Support Year,Monthly Cost (USD)
STAGE,applicant-transfer-service-db-staging-2,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
STAGE,c4t-prototyping-staging-reader,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,c4t-prototyping-staging-writer,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,cdp-prototyping-staging-reader,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,cdp-prototyping-staging-writer,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,comms-subscriptions-aurora-pg-cluster-staging-instance-a,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,cp1j5tscrc0174g,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,data-availability-loic-test-src-database-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,data-infrastructure-scratch-database-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,employee-profile-service-db-1,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
STAGE,employee-profile-service-db-2,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
STAGE,ep169rwf7wfvpnr,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,genesis-staging,postgres,12.22,db.m6g.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,gp1d3cu0ikfo51w,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,gp1inx4eejwb537,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,gp1wb5ppbrv3fzf,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,gpfoz58dudo80a,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,guild-sponsorship-rds-instance-pssqldbinstance-lziyytd3cc9w,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,model-m-academic-aurora-pg-cluster-staging-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,model-m-staging-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,model-m-staging-2,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,nc-walmart-event-consumer-service-aurora-pg-cluster-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,np15wtaeh0ozjzm,postgres,11.22-rds.20250508,db.t3.medium,2,available,In Extended Support,2023-11-09,Year 3,$292.00
STAGE,pcs-db-serverless-v2-serverlessv2instance-eriepfyz5gkw,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,platform-eligibility-db-staging-instance-a,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,prod-epeszt1fl8zhft-version,postgres,12.22,db.m6g.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,self-reported-data-service-staging,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,sp752qzecgtcyw,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,tonic-metadata-database-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,tonic-poc-destination-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
STAGE,transaction-service-aurora-pg-primary-staging,aurora-postgresql,12.22,db.r4.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
STAGE,user-profile-service-staging,aurora-postgresql,11.21,db.r5.large,2,available,In Extended Support,2023-11-09,Year 3,$292.00
PROD,ac1v5durqxibefp,aurora-postgresql,13.20,db.t4g.medium,2,available,In Extended Support,2025-11-13,Year 1,$146.00
PROD,acb0v1soov2axg,aurora-postgresql,13.20,db.t4g.medium,2,available,In Extended Support,2025-11-13,Year 1,$146.00
